"YEAR";"P_KIA_NEW";"P_MOSHI_NEW";"P_KIA_OLD";"P_MOSHI_OLD";"P_MEAN_NEW";"P_MEAN_OLD"
"1989-01-01";"48.1";76;"48.1";76;"62.05";"62.05"
"1989-02-01";"8.6";"0.7";"8.6";"0.7";"4.65";"4.65"
"1989-03-01";31;"103.2";31;"103.2";"67.1";"67.1"
"1989-04-01";229;"278.5";229;"278.5";"253.75";"253.75"
"1989-05-01";"56.4";"156.9";"56.4";"156.9";"106.65";"106.65"
"1989-06-01";"3.5";"16.2";"3.5";"16.2";"9.85";"9.85"
"1989-07-01";0;3;0;3;"1.5";"1.5"
"1989-08-01";"7.4";"17.9";"7.4";"17.9";"12.65";"12.65"
"1989-09-01";"9.8";"10.3";"9.8";"10.3";"10.05";"10.05"
"1989-10-01";2;"14.2";2;"14.2";"8.1";"8.1"
"1989-11-01";52;"5.6";52;"5.6";"28.8";"28.8"
"1989-12-01";"101.7";"107.3";"101.7";"107.3";"104.5";"104.5"
"1990-01-01";"23.3";52;"23.3";52;"37.65";"37.65"
"1990-02-01";"85.5";"45.7";"85.5";"45.7";"65.6";"65.6"
"1990-03-01";"179.7";"244.9";"179.7";"244.9";"212.3";"212.3"
"1990-04-01";242;"633.9";242;"633.9";"437.95";"437.95"
"1990-05-01";32;"49.5";32;"49.5";"40.75";"40.75"
"1990-06-01";"1.7";"6.4";"1.7";"6.4";"4.05";"4.05"
"1990-07-01";"0.9";"8.8";"0.9";"8.8";"4.85";"4.85"
"1990-08-01";0;"6.2";0;"6.2";"3.1";"3.1"
"1990-09-01";0;4;0;4;2;2
"1990-10-01";"9.9";"39.8";"9.9";"39.8";"24.85";"24.85"
"1990-11-01";"76.6";"173.7";"76.6";"173.7";"125.15";"125.15"
"1990-12-01";"29.5";"43.4";"29.5";"43.4";"36.45";"36.45"
"1991-01-01";"47.7";"126.3";"47.7";"126.3";87;87
"1991-02-01";0;18;0;18;9;9
"1991-03-01";"80.3";"78.4";"80.3";"78.4";"79.35";"79.35"
"1991-04-01";"35.3";"168.5";"35.3";"168.5";"101.9";"101.9"
"1991-05-01";"92.1";"283.7";"92.1";"283.7";"187.9";"187.9"
"1991-06-01";"0.6";"5.5";"0.6";"5.5";"3.05";"3.05"
"1991-07-01";"15.3";"6.7";"15.3";"6.7";11;11
"1991-08-01";"13.1";"29.7";"13.1";"29.7";"21.4";"21.4"
"1991-09-01";0;"26.8";0;"26.8";"13.4";"13.4"
"1991-10-01";0;"16.7";0;"16.7";"8.35";"8.35"
"1991-11-01";"5.2";"38.1";"5.2";"38.1";"21.65";"21.65"
"1991-12-01";"59.1";"105.6";"59.1";"105.6";"82.35";"82.35"
"1992-01-01";0;"2.9";0;"2.9";"1.45";"1.45"
"1992-02-01";"71.7";"16.9";"71.7";"16.9";"44.3";"44.3"
"1992-03-01";"7.4";"37.9";"7.4";"37.9";"22.65";"22.65"
"1992-04-01";"162.1";"446.8";"162.1";"446.8";"304.45";"304.45"
"1992-05-01";"73.5";"215.5";"73.5";"215.5";"144.5";"144.5"
"1992-06-01";"13.8";"3.1";"13.8";"3.1";"8.45";"8.45"
"1992-07-01";9;"14.4";9;"14.4";"11.7";"11.7"
"1992-08-01";"0.2";"24.1";"0.2";"24.1";"12.15";"12.15"
"1992-09-01";0;"0.8";0;"0.8";"0.4";"0.4"
"1992-10-01";0;"0.1";0;"0.1";"0.05";"0.05"
"1992-11-01";"72.1";"91.8";"72.1";"91.8";"81.95";"81.95"
