"Datetime","Timezone","Aggregationtime","PlotId","EpPlotId","StationId","Processlevel","Qualityflag","TEMP","MAX","MIN"
1973-04-20 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.6758457430835,25.5619396238488,14.2264703415397
1973-04-21 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.6831254567864,25.5615547613166,14.145262747137
1973-04-22 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.7338725192071,25.572572023446,14.1121734029618
1973-04-23 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.8153457747845,25.5907451904744,14.1433272112543
1973-04-24 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.3,26,11
1973-04-25 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.4,25,16
1973-04-26 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.4,25,16
1973-04-27 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.68,25.6,14.6
1973-04-28 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.68,25.6,14.6
1973-04-29 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.68,25.6,14.6
1973-04-30 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.5,25,14
1973-05-01 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.12,26.2,14.4
1973-05-02 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.8,27,16
1973-05-03 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20,26,14.2
1973-05-04 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.5,25.6666666666667,14.3333333333333
1973-05-05 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.4,27,12
1973-05-06 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.5,27,14
1973-05-07 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.8,24,15
